epoch,lr,train_loss,val_loss,accuracy,precision,recall,f1,auc_roc
1,0.000266,0.6817,0.6652,0.6209,0.1652,0.7824,0.2728,0.7788
2,0.000753,0.6360,0.3684,0.8963,0.4355,0.4765,0.4551,0.8101
3,0.001000,0.5980,0.5889,0.7412,0.2321,0.8000,0.3598,0.8498
4,0.000997,0.5787,0.2510,0.9299,0.6931,0.4118,0.5166,0.8741
5,0.000987,0.5244,1.1297,0.3422,0.1203,0.9882,0.2146,0.8712
6,0.000971,0.5055,0.5901,0.6877,0.2117,0.8941,0.3423,0.8928
7,0.000948,0.3763,0.6347,0.7332,0.2426,0.9118,0.3832,0.9370
8,0.000919,0.3872,0.2481,0.9176,0.5325,0.7706,0.6298,0.9435
9,0.000885,0.4298,0.1975,0.9460,0.8224,0.5176,0.6354,0.9424
10,0.000845,0.3533,0.4317,0.8118,0.3180,0.9353,0.4746,0.9549
11,0.000801,0.3014,0.2741,0.8930,0.4551,0.8941,0.6032,0.9655
12,0.000752,0.2873,0.3081,0.8824,0.4313,0.9235,0.5880,0.9694
13,0.000701,0.2634,0.2893,0.8856,0.4382,0.9176,0.5932,0.9757
14,0.000646,0.2440,0.2671,0.9032,0.4832,0.9294,0.6358,0.9752
15,0.000590,0.2479,0.2186,0.9241,0.5504,0.9000,0.6830,0.9741
16,0.000532,0.2348,0.1503,0.9572,0.7250,0.8529,0.7838,0.9818
17,0.000474,0.2242,0.1782,0.9390,0.6111,0.9059,0.7299,0.9820
18,0.000416,0.1925,0.1597,0.9460,0.6651,0.8176,0.7335,0.9709
19,0.000359,0.2093,0.2675,0.8968,0.4676,0.9765,0.6324,0.9832
20,0.000305,0.1849,0.2138,0.9289,0.5688,0.9000,0.6970,0.9795
21,0.000252,0.1829,0.2043,0.9353,0.5976,0.8824,0.7126,0.9740
22,0.000204,0.1820,0.1997,0.9385,0.6078,0.9118,0.7294,0.9777
23,0.000159,0.1739,0.1289,0.9636,0.7742,0.8471,0.8090,0.9802
24,0.000119,0.1489,0.1908,0.9299,0.5694,0.9412,0.7095,0.9837
25,0.000084,0.1349,0.1609,0.9487,0.6516,0.9353,0.7681,0.9827
26,0.000054,0.1565,0.1738,0.9455,0.6417,0.9059,0.7512,0.9808
27,0.000031,0.1484,0.1577,0.9497,0.6652,0.9000,0.7650,0.9813
28,0.000014,0.1421,0.1398,0.9572,0.7103,0.8941,0.7917,0.9816
29,0.000004,0.1486,0.1379,0.9583,0.7170,0.8941,0.7958,0.9817
30,0.000000,0.1329,0.1382,0.9572,0.7103,0.8941,0.7917,0.9817
